name,total_units,people_per_unit,pct_age62plus,pct_disabled_all,pct_1adult,pct_2adults,abawd_prob_upper,abawd_upper_count,bound_1,bound_2,bound_3
AK Alaska,4990,1.8,40,34,21,5,0.6,5389.2,0.6,0.6599999999999999,0.6
AL Alabama,41116,2.5,21,16,53,1,0.45999999999999996,47283.399999999994,0.5476190476190476,0.45999999999999996,0.45999999999999996
AR Arkansas,28217,2.1,28,27,38,2,0.6,35553.42,0.72,0.6,0.6
AZ Arizona,26411,2.3,33,26,35,4,0.61,37054.632999999994,0.6699999999999999,0.61,0.61
CA California,367236,2.1,45,30,23,5,0.55,424157.58,0.55,0.7,0.55
CO Colorado,39442,2.1,33,28,31,4,0.65,53838.33,0.6699999999999999,0.65,0.65
CT Connecticut,46176,2.2,29,24,36,2,0.62,62984.064000000006,0.71,0.62,0.62
DC District of Columbia,16693,2.1,38,23,30,1,0.62,21734.286,0.62,0.69,0.62
DE Delaware,5986,2.3,31,22,43,1,0.56,7709.968000000001,0.69,0.56,0.56
FL Florida,129259,2.3,38,25,37,2,0.61,181350.37699999998,0.62,0.61,0.61
GA Georgia,71539,2.4,31,20,45,1,0.54,92714.54400000001,0.675,0.54,0.54
GU Guam,2651,4,15,4,41,30,0.29000000000000004,3075.1600000000003,0.30208333333333337,0.29000000000000004,0.29000000000000004
HI Hawaii,14466,2.5,38,19,27,13,0.6,21699,0.62,0.6,0.6
IA Iowa,24350,1.9,32,31,29,3,0.6799999999999999,31460.199999999997,0.6799999999999999,0.6799999999999999,0.6799999999999999
ID Idaho,7983,1.9,39,37,26,5,0.61,9252.296999999999,0.61,0.63,0.61
IL Illinois,117878,2.2,32,22,37,1,0.62,160785.59200000003,0.6799999999999999,0.62,0.62
IN Indiana,45946,2.1,28,26,39,2,0.5900000000000001,56927.09400000001,0.72,0.5900000000000001,0.5900000000000001
KS Kansas,14680,1.9,33,29,32,2,0.6599999999999999,18408.719999999998,0.6699999999999999,0.6599999999999999,0.6599999999999999
KY Kentucky,40031,2.1,27,26,38,3,0.5900000000000001,49598.40900000001,0.73,0.5900000000000001,0.5900000000000001
LA Louisiana,59613,2.3,25,22,47,1,0.52,71297.148,0.6666666666666667,0.52,0.52
MA Massachusetts,101070,2,34,30,32,3,0.65,131391,0.6599999999999999,0.65,0.65
MD Maryland,59654,2.3,29,26,40,2,0.5800000000000001,79578.436,0.71,0.5800000000000001,0.5800000000000001
ME Maine,15283,1.8,37,40,22,3,0.6,16505.64,0.6,0.6,0.63
MI Michigan,66230,2.2,27,27,38,2,0.6,87423.59999999999,0.73,0.6,0.6
MN Minnesota,38709,2.5,26,23,38,6,0.56,54192.600000000006,0.7272727272727274,0.56,0.56
MO Missouri,48368,2.2,28,25,40,2,0.5800000000000001,61717.568000000014,0.72,0.5800000000000001,0.5800000000000001
MP Northern Mariana Islands,373,4.2,8,4,54,30,0.16000000000000003,250.65600000000006,0.1666666666666667,0.16000000000000003,0.16000000000000003
MS Mississippi,28631,2.6,20,17,54,1,0.44999999999999996,33498.27,0.54216867469879515,0.44999999999999996,0.44999999999999996
MT Montana,7667,1.7,39,36,23,3,0.61,7950.678999999999,0.61,0.64,0.61
NC North Carolina,72858,2.2,32,23,41,2,0.5700000000000001,91363.93200000002,0.6799999999999999,0.5700000000000001,0.5700000000000001
ND North Dakota,9780,1.7,36,34,24,2,0.64,10640.64,0.64,0.6599999999999999,0.64
NE Nebraska,14344,2.1,32,27,34,5,0.61,18374.664,0.6799999999999999,0.61,0.61
NH New Hampshire,11888,1.9,35,38,27,3,0.62,14004.064,0.62,0.62,0.65
NJ New Jersey,89242,2.2,39,23,30,4,0.61,119762.76400000001,0.61,0.6599999999999999,0.61
NM New Mexico,15790,2,37,34,30,3,0.63,19895.4,0.63,0.6599999999999999,0.63
NV Nevada,17425,2.3,34,26,36,3,0.61,24447.274999999998,0.6599999999999999,0.61,0.61
NY New York,286865,2.1,41,28,25,6,0.5900000000000001,355425.73500000004,0.5900000000000001,0.69,0.5900000000000001
OH Ohio,106278,2.1,26,26,39,2,0.5900000000000001,131678.44200000004,0.74,0.5900000000000001,0.5900000000000001
OK Oklahoma,28841,2.1,28,28,39,2,0.5900000000000001,35733.99900000001,0.72,0.5900000000000001,0.5900000000000001
OR Oregon,42491,1.9,35,33,26,5,0.65,52476.384999999995,0.65,0.6699999999999999,0.65
PA Pennsylvania,105005,2.1,32,27,38,2,0.6,132306.3,0.6799999999999999,0.6,0.6
PR Puerto Rico,33944,2.2,26,8,39,5,0.56,41819.00800000001,0.6086956521739131,0.56,0.56
RI Rhode Island,11588,2.2,26,26,39,2,0.5900000000000001,15041.224000000004,0.74,0.5900000000000001,0.5900000000000001
SC South Carolina,30425,2.3,28,19,46,1,0.53,37088.075000000004,0.654320987654321,0.53,0.53
SD South Dakota,7094,1.9,35,29,31,3,0.65,8761.09,0.65,0.6599999999999999,0.65
TN Tennessee,42287,2.4,24,20,48,2,0.5,50744.4,0.6249999999999999,0.5,0.5
TX Texas,182074,2.4,29,22,43,3,0.54,235967.904,0.6923076923076924,0.54,0.54
UT Utah,14154,2,31,35,26,5,0.65,18400.2,0.65,0.65,0.69
