name,total_units,people_per_unit,pct_disabled_all,pct_female_head_child,pct_age25_50,pct_age51_61,abawd_prob_upper,abawd_upper_count
AK Alaska,4990,1.8,34,21,37,21,0.58,5209.5599999999995
AL Alabama,41116,2.5,16,53,60,15,0.47,48311.299999999996
AR Arkansas,28217,2.1,27,38,47,21,0.62,36738.534
AZ Arizona,26411,2.3,26,35,44,22,0.65,39484.445
CA California,367236,2.1,30,24,34,20,0.54,416445.624
CO Colorado,39442,2.1,28,31,43,21,0.64,53010.048
CT Connecticut,46176,2.2,24,36,46,23,0.64,65015.80800000001
DC District of Columbia,16693,2.1,23,29,36,25,0.61,21383.733
DE Delaware,5986,2.3,22,43,48,18,0.5700000000000001,7847.646000000001
FL Florida,129259,2.3,25,37,43,17,0.6,178377.41999999995
GA Georgia,71539,2.4,20,44,50,17,0.56,96148.41600000001
GU Guam,2651,4,4,60,64,18,0.4,4241.6
HI Hawaii,14466,2.5,19,33,41,19,0.6,21699
IA Iowa,24350,1.9,31,29,45,20,0.65,30072.25
ID Idaho,7983,1.9,37,27,40,19,0.59,8948.943
IL Illinois,117878,2.2,22,37,47,19,0.63,163378.90800000002
IN Indiana,45946,2.1,26,38,49,20,0.62,59821.692
KS Kansas,14680,1.9,29,31,44,20,0.64,17850.88
KY Kentucky,40031,2.1,26,38,48,20,0.62,52120.362
LA Louisiana,59613,2.3,22,46,54,17,0.54,74039.346
MA Massachusetts,101070,2,30,32,41,23,0.64,129369.6
MD Maryland,59654,2.3,26,40,50,20,0.6,82322.51999999999
ME Maine,15283,1.8,40,22,38,23,0.6,16505.64
MI Michigan,66230,2.2,27,38,49,22,0.62,90337.72
MN Minnesota,38709,2.5,23,40,50,20,0.6,58063.5
MO Missouri,48368,2.2,25,39,50,20,0.61,64909.856
MP Northern Mariana Islands,373,4.2,4,72,72,17,0.28,438.6480000000001
MS Mississippi,28631,2.6,17,54,61,17,0.45999999999999996,34242.676
MT Montana,7667,1.7,36,23,38,21,0.59,7690.000999999999
NC North Carolina,72858,2.2,23,40,46,20,0.6,96172.56
ND North Dakota,9780,1.7,34,24,41,18,0.59,9809.34
NE Nebraska,14344,2.1,27,35,46,19,0.65,19579.56
NH New Hampshire,11888,1.9,38,27,40,22,0.62,14004.064
NJ New Jersey,89242,2.2,23,30,40,20,0.6,117799.44000000002
NM New Mexico,15790,2,34,29,39,22,0.61,19263.8
NV Nevada,17425,2.3,26,36,43,21,0.64,25649.600000000002
NY New York,286865,2.1,28,25,35,22,0.57,343377.40499999997
OH Ohio,106278,2.1,26,39,51,19,0.61,136142.11800000002
OK Oklahoma,28841,2.1,28,38,49,19,0.62,37550.982
OR Oregon,42491,1.9,33,19,41,21,0.62,50054.397999999994
PA Pennsylvania,105005,2.1,27,37,45,20,0.63,138921.615
PR Puerto Rico,33944,2.2,8,42,54,19,0.5800000000000001,43312.54400000001
RI Rhode Island,11588,2.2,26,39,48,23,0.61,15551.096000000001
SC South Carolina,30425,2.3,19,46,52,18,0.54,37787.850000000006
SD South Dakota,7094,1.9,29,31,43,19,0.62,8356.731999999998
TN Tennessee,42287,2.4,20,47,55,18,0.53,53789.064000000006
TX Texas,182074,2.4,22,44,51,18,0.56,244707.456
UT Utah,14154,2,35,27,45,21,0.65,18400.2
VA Virginia,60930,2.2,24,39,48,21,0.61,81768.06
VI U.S. Virgin Islands,2160,2.4,4,53,58,14,0.47,2436.48
VT Vermont,9438,1.9,37,27,43,21,0.63,11297.286
WA Washington,67770,2.1,32,28,42,22,0.64,91082.88
WI Wisconsin,34750,2,31,33,44,19,0.63,43785
WV West Virginia,16274,1.9,28,29,45,23,0.68,21026.008
WY Wyoming,2749,1.6,38,22,34,18,0.52,2287.1680000000006
