"state","cities","avg_voucher_rate","median_voucher_rate","cities_no_vouchers","pct_no_vouchers","cities_severe_desert","pct_severe_desert"
"AZ",111,10.6310947315652,3.71674491392801,0,0,76,68.5
"UT",93,12.433617700086,7.7097125618034,0,0,56,60.2
"FL",562,18.8281702157924,7.49371736994649,1,0.2,316,56.2
"NV",40,13.5408175911211,8.72071194959931,0,0,22,55
"AK",36,22.9347717869778,12.3140876355385,0,0,16,44.4
"CO",142,21.5580126370856,14.8881284427066,0,0,63,44.4
"NJ",397,29.1540204919682,13.6430079584213,0,0,171,43.1
"WA",261,21.2303261193292,13.9586823003908,0,0,109,41.8
"DE",32,32.0520672530908,20.202154260583,0,0,13,40.6
"IL",421,24.8589732228759,13.6585365853659,0,0,171,40.6
"TX",516,26.2612675407594,16.8612062853411,0,0,206,39.9
"VA",234,27.6519365214055,14.7084933316817,0,0,90,38.5
"CT",96,39.3562330958687,24.3147733795321,0,0,35,36.5
"GA",235,32.709900834829,19.7206244864421,0,0,85,36.2
"NC",260,35.1851846451471,23.1417726562128,0,0,93,35.8
"OK",115,28.1203308299809,21.4285714285714,0,0,41,35.7
"NY",516,41.5141378659237,21.589911297839,0,0,174,33.7
"CA",771,25.5205309614468,17.989417989418,0,0,259,33.6
"MD",239,31.9395039939912,20.5980761187788,0,0,80,33.5
"NM",55,31.7344513532935,22.4848659556068,0,0,18,32.7
"TN",156,34.4124808548475,23.3166664829955,0,0,50,32.1
"OH",409,37.5786962866002,22.9415105053947,0,0,129,31.5
"PA",537,43.0267182685421,26.5170831208567,0,0,169,31.5
"IN",182,32.3356919037747,22.7228597529462,0,0,53,29.1
"AL",159,41.7292920072037,27.8845294485656,0,0,45,28.3
"MI",258,41.9782060229636,32.4498996297789,0,0,72,27.9
"HI",72,37.0581583612673,19.6075784300779,0,0,20,27.8
"WI",231,27.6670792144342,23.845763571791,0,0,64,27.7
"MO",220,38.7876284753183,28.5638736589765,0,0,59,26.8
"ID",51,21.2384002739643,20.4290091930541,0,0,13,25.5
"MN",220,34.2699045829347,29.7294099725472,2,0.9,55,25
"SC",160,39.327322809922,26.2877275462206,0,0,38,23.8
"LA",153,43.6884368959883,29.6979006656426,0,0,36,23.5
"KS",99,28.7612057026975,22.7272727272727,0,0,23,23.2
"AR",118,47.0616504341568,36.8782402624393,0,0,27,22.9
"OR",143,31.0036396769015,27.9044808156694,0,0,30,21
"MT",40,32.5479631945843,25.7840211313506,0,0,8,20
"IA",136,34.0100086581039,32.0094135649141,0,0,26,19.1
"PR",89,89.4466214134986,73.9394929163434,0,0,14,15.7
"MS",99,57.5656021330859,49.1642084562439,0,0,15,15.2
"WV",67,58.2762547071109,57.4350904799371,0,0,10,14.9
"NE",49,31.9969376132153,24.6913580246914,0,0,7,14.3
"MA",170,46.0377072497249,36.6078805172129,0,0,24,14.1
"KY",138,48.7284376191341,41.4147458694267,0,0,19,13.8
"WY",27,26.8841021365483,22.6654578422484,0,0,3,11.1
"ND",20,45.8144678517919,47.2033831801073,0,0,2,10
"SD",33,44.9470205067889,47.9632704894012,0,0,3,9.1
"RI",17,70.8728531532982,74.1805635422657,0,0,1,5.9
"ME",62,58.3727721618603,55.1002462099153,0,0,3,4.8
"NH",42,49.9817888298195,42.5620585973009,0,0,2,4.8
"DC",1,81.8830934580602,81.8830934580602,0,0,0,0
"VT",23,104.349733679012,102.5,0,0,0,0
